Name;NoF;CTC;eCTC;pruProp;pruTime;priProp;priTime;packTime
200-5-5-8;200;5;5;5;84;8;71;101
200-5-5-9;200;5;5;8;46;13;53;94
200-10-0-0;200;10;0;3;186;3;209;251
200-10-0-1;200;10;0;4;187;4;190;232
200-10-0-2;200;10;0;3;148;4;141;176
200-10-0-3;200;10;0;4;176;5;178;216
200-10-0-4;200;10;0;5;153;7;167;190
200-10-0-5;200;10;0;4;193;5;204;245
200-10-0-6;200;10;0;3;171;5;188;234
200-10-0-7;200;10;0;4;174;7;160;198
200-10-0-8;200;10;0;5;152;7;168;202
200-10-0-9;200;10;0;4;174;5;194;235
200-10-2-0;200;10;2;4;177;5;177;220
200-10-2-1;200;10;2;3;162;2;162;189
200-10-2-2;200;10;2;5;140;8;135;167
200-10-2-3;200;10;2;4;158;6;175;207
200-10-2-4;200;10;2;6;77;11;121;171
200-10-2-5;200;10;2;4;68;7;68;91
200-10-2-6;200;10;2;5;141;9;131;167
200-10-2-7;200;10;2;3;124;3;111;133
200-10-2-8;200;10;2;8;4;15;2;30
200-10-2-9;200;10;2;3;179;3;202;242
200-10-5-0;200;10;5;5;140;10;148;197
200-10-5-1;200;10;5;7;80;11;81;114
200-10-5-2;200;10;5;6;72;10;78;115
200-10-5-3;200;10;5;7;50;12;62;104
200-10-5-4;200;10;5;5;154;8;156;198
200-10-5-5;200;10;5;5;127;9;134;175
200-10-5-6;200;10;5;5;162;8;179;212
200-10-5-7;200;10;5;4;108;7;114;153
200-10-5-8;200;10;5;4;170;7;173;213
200-10-5-9;200;10;5;5;139;9;139;172
200-15-0-0;200;15;0;4;166;6;171;207
200-15-0-1;200;15;0;4;188;5;172;208
200-15-0-2;200;15;0;8;9;15;9;40
200-15-0-3;200;15;0;2;156;3;170;196
200-15-0-4;200;15;0;3;147;5;137;159
200-15-0-5;200;15;0;8;25;13;28;56
200-15-0-6;200;15;0;3;179;5;189;221
200-15-0-7;200;15;0;3;177;3;182;217
200-15-0-8;200;15;0;4;155;7;153;189
200-15-0-9;200;15;0;3;198;5;184;222
200-15-2-0;200;15;2;4;133;7;126;158
200-15-2-1;200;15;2;4;131;6;129;143
200-15-2-2;200;15;2;6;102;10;133;169
200-15-2-3;200;15;2;7;114;10;91;119
200-15-2-4;200;15;2;4;146;6;159;191
200-15-2-5;200;15;2;3;179;3;204;233
200-15-2-6;200;15;2;4;140;8;156;196
200-15-2-7;200;15;2;4;143;7;145;178
200-15-2-8;200;15;2;3;174;4;172;202
200-15-2-9;200;15;2;4;165;6;189;225
200-15-5-0;200;15;5;8;99;14;99;142
